Country,Response,Weighted_prop,Unweighted count
Iraq,DK/Refused,0.0594,52
Ireland,Low trust,0.0523,45
Ireland,Medium trust,0.5519,542
Ireland,High trust,0.3864,400
Ireland,DK/Refused,0.0094,13
Israel,Low trust,0.1119,114
Israel,Medium trust,0.6108,600
Israel,High trust,0.2639,283
Israel,DK/Refused,0.0135,13
Italy,Low trust,0.1057,95
Italy,Medium trust,0.724,742
Italy,High trust,0.1657,159
Italy,DK/Refused,0.0046,4
Ivory Coast,Low trust,0.3116,344
Ivory Coast,Medium trust,0.317,365
Ivory Coast,High trust,0.0456,51
Ivory Coast,DK/Refused,0.3258,240
Japan,Low trust,0.0735,74
Japan,Medium trust,0.7631,772
Japan,High trust,0.1144,112
Japan,DK/Refused,0.049,46
Jordan,Low trust,0.2301,245
Jordan,Medium trust,0.4882,484
Jordan,High trust,0.1572,151
Jordan,DK/Refused,0.1244,122
Kazakhstan,Low trust,0.0994,105
Kazakhstan,Medium trust,0.5744,569
Kazakhstan,High trust,0.1835,177
Kazakhstan,DK/Refused,0.1426,149
Kenya,Low trust,0.2596,246
Kenya,Medium trust,0.5835,580
Kenya,High trust,0.0992,105
Kenya,DK/Refused,0.0577,69
Kosovo,Low trust,0.234,229
Kosovo,Medium trust,0.6116,616
Kosovo,High trust,0.1028,102
Kosovo,DK/Refused,0.0517,53
Kuwait,Low trust,0.1034,93
Kuwait,Medium trust,0.4352,440
Kuwait,High trust,0.1985,199
Kuwait,DK/Refused,0.263,269
Kyrgyzstan,Low trust,0.145,160
Kyrgyzstan,Medium trust,0.655,639
Kyrgyzstan,High trust,0.1072,114
Kyrgyzstan,DK/Refused,0.0927,87
Laos,Low trust,0.1266,115
Laos,Medium trust,0.4148,407
Laos,High trust,0.1572,159
Laos,DK/Refused,0.3014,320
Latvia,Low trust,0.0584,62
Latvia,Medium trust,0.633,638
Latvia,High trust,0.0776,80
Latvia,DK/Refused,0.231,241
Lebanon,Low trust,0.2395,220
Lebanon,Medium trust,0.5256,542
Lebanon,High trust,0.1958,199
Lebanon,DK/Refused,0.0392,39
Liberia,Low trust,0.1958,183
Liberia,Medium trust,0.454,483
Liberia,High trust,0.2107,220
Liberia,DK/Refused,0.1395,114
Libya,Low trust,0.1398,140
Libya,Medium trust,0.5194,545
Libya,High trust,0.1983,190
Libya,DK/Refused,0.1425,128
Lithuania,Low trust,0.1151,115
Lithuania,Medium trust,0.5372,568
Lithuania,High trust,0.1673,158
Lithuania,DK/Refused,0.1804,159
Luxembourg,Low trust,0.0904,82
Luxembourg,Medium trust,0.6817,681
Luxembourg,High trust,0.2051,219
Luxembourg,DK/Refused,0.0228,18
Macedonia,Low trust,0.36,333
Macedonia,Medium trust,0.4316,469
Macedonia,High trust,0.0535,62
Macedonia,DK/Refused,0.155,144
Madagascar,Low trust,0.3255,323
Madagascar,Medium trust,0.3626,390
Madagascar,High trust,0.1007,90
Madagascar,DK/Refused,0.2112,197
Malawi,Low trust,0.2534,265
Malawi,Medium trust,0.4414,433
Malawi,High trust,0.2171,207
Malawi,DK/Refused,0.088,95
Malaysia,Low trust,0.1392,144
Malaysia,Medium trust,0.4364,423
Malaysia,High trust,0.142,129
Malaysia,DK/Refused,0.2824,304
Mali,Low trust,0.1442,157
Mali,Medium trust,0.3708,422
Mali,High trust,0.2032,181
Mali,DK/Refused,0.2817,240
Malta,Low trust,0.0706,65
Malta,Medium trust,0.5337,550
Malta,High trust,0.3381,337
Malta,DK/Refused,0.0576,55
Mauritania,Low trust,0.3662,379
Mauritania,Medium trust,0.2227,263
Mauritania,High trust,0.0262,28
Mauritania,DK/Refused,0.3849,330
Mauritius,Low trust,0.2386,243
Mauritius,Medium trust,0.6061,625
Mauritius,High trust,0.0992,84
Mauritius,DK/Refused,0.0562,48
Mexico,Low trust,0.2503,268
Mexico,Medium trust,0.6199,630
Mexico,High trust,0.1125,116
Mexico,DK/Refused,0.0173,20
Moldova,Low trust,0.3819,392
Moldova,Medium trust,0.4833,472
Moldova,High trust,0.0486,43
Moldova,DK/Refused,0.0862,93
Mongolia,Low trust,0.159,164
Mongolia,Medium trust,0.5667,555
Mongolia,High trust,0.1137,118
Mongolia,DK/Refused,0.1605,163
Montenegro,Low trust,0.408,416
Montenegro,Medium trust,0.3897,414
Montenegro,High trust,0.0298,29
Montenegro,DK/Refused,0.1726,141
Morocco,Low trust,0.1189,110
Morocco,Medium trust,0.5006,471
Morocco,High trust,0.1438,135
Morocco,DK/Refused,0.2366,285
Mozambique,Low trust,0.1984,200
Mozambique,Medium trust,0.3154,340
Mozambique,High trust,0.2636,277
Mozambique,DK/Refused,0.2226,183
Myanmar,Low trust,0.0494,46
Myanmar,Medium trust,0.5354,520
Myanmar,High trust,0.2949,312
Myanmar,DK/Refused,0.1203,122
Namibia,Low trust,0.3748,354
Namibia,Medium trust,0.451,491
Namibia,High trust,0.0648,66
Namibia,DK/Refused,0.1095,94
Nepal,Low trust,0.0833,79
Nepal,Medium trust,0.5243,561
Nepal,High trust,0.1446,144
Nepal,DK/Refused,0.2478,216
Netherlands,Low trust,0.1509,163
Netherlands,Medium trust,0.5617,571
Netherlands,High trust,0.2843,265
Netherlands,DK/Refused,0.0031,2
New Zealand,Low trust,0.0523,54
New Zealand,Medium trust,0.612,608
New Zealand,High trust,0.3205,326
New Zealand,DK/Refused,0.0152,14
Nicaragua,Low trust,0.3859,361
Nicaragua,Medium trust,0.4669,483
Nicaragua,High trust,0.0769,85
Nicaragua,DK/Refused,0.0703,71
Niger,Low trust,0.1407,145
Niger,Medium trust,0.3008,288
Niger,High trust,0.3901,372
Niger,DK/Refused,0.1684,195
Nigeria,Low trust,0.1668,181
Nigeria,Medium trust,0.5527,578
Nigeria,High trust,0.1862,190
Nigeria,DK/Refused,0.0944,51
Northern Cyprus,Low trust,0.2248,214
Northern Cyprus,Medium trust,0.5088,544
Northern Cyprus,High trust,0.1402,155
Northern Cyprus,DK/Refused,0.1262,87
Norway,Low trust,0.0281,34
Norway,Medium trust,0.5857,566
Norway,High trust,0.3776,389
Norway,DK/Refused,0.0086,11
Pakistan,Low trust,0.2354,214
Pakistan,Medium trust,0.5045,545
Pakistan,High trust,0.107,108
Pakistan,DK/Refused,0.1532,133
Palestine,Low trust,0.1733,175
Palestine,Medium trust,0.5278,536
Palestine,High trust,0.1576,149
Palestine,DK/Refused,0.1412,140
Panama,Low trust,0.3836,386
Panama,Medium trust,0.512,502
Panama,High trust,0.0724,80
Panama,DK/Refused,0.0321,32
Paraguay,Low trust,0.3312,330
Paraguay,Medium trust,0.4728,449
Paraguay,High trust,0.0826,78
Paraguay,DK/Refused,0.1135,143
Peru,Low trust,0.382,363
Peru,Medium trust,0.4883,510
Peru,High trust,0.0517,50
Peru,DK/Refused,0.078,77
Philippines,Low trust,0.1273,146
Philippines,Medium trust,0.524,523
Philippines,High trust,0.319,300
Philippines,DK/Refused,0.0296,31
Poland,Low trust,0.107,96
Poland,Medium trust,0.6695,669
Poland,High trust,0.189,205
Poland,DK/Refused,0.0345,30
Portugal,Low trust,0.1066,70
Portugal,Medium trust,0.5418,573
Portugal,High trust,0.3364,347
Portugal,DK/Refused,0.0152,11
Romania,Low trust,0.2047,187
Romania,Medium trust,0.5026,496
Romania,High trust,0.2147,235
Romania,DK/Refused,0.0781,84
Russia,Low trust,0.1405,278
Russia,Medium trust,0.6238,1223
Russia,High trust,0.1357,270
Russia,DK/Refused,0.1001,229
Rwanda,Low trust,0.1103,113
Rwanda,Medium trust,0.4216,438
Rwanda,High trust,0.2155,209
Rwanda,DK/Refused,0.2526,240
Saudi Arabia,Low trust,0.0774,86
Saudi Arabia,Medium trust,0.4786,494
Saudi Arabia,High trust,0.2755,268
Saudi Arabia,DK/Refused,0.1684,168
Senegal,Low trust,0.2043,222
Senegal,Medium trust,0.4814,486
Senegal,High trust,0.1146,121
Senegal,DK/Refused,0.1996,171
Serbia,Low trust,0.2469,232
Serbia,Medium trust,0.5732,597
Serbia,High trust,0.0924,100
Serbia,DK/Refused,0.0875,71
Sierra Leone,Low trust,0.2721,256
Sierra Leone,Medium trust,0.4025,419
Sierra Leone,High trust,0.1367,166
Sierra Leone,DK/Refused,0.1887,159
Singapore,Low trust,0.1413,163
Singapore,Medium trust,0.5059,495
Singapore,High trust,0.2212,220
Singapore,DK/Refused,0.1316,122
Slovakia,Low trust,0.1607,166
Slovakia,Medium trust,0.6193,614
Slovakia,High trust,0.1764,174
Slovakia,DK/Refused,0.0437,46
Slovenia,Low trust,0.1707,159
Slovenia,Medium trust,0.6727,674
Slovenia,High trust,0.1559,166
Slovenia,DK/Refused,7e-4,1
South Africa,Low trust,0.2957,310
South Africa,Medium trust,0.415,427
South Africa,High trust,0.1323,118
South Africa,DK/Refused,0.157,145
South Korea,Low trust,0.2345,214
South Korea,Medium trust,0.682,704
South Korea,High trust,0.0581,70
South Korea,DK/Refused,0.0254,26
Spain,Low trust,0.0593,46
Spain,Medium trust,0.539,536
Spain,High trust,0.3889,412
Spain,DK/Refused,0.0129,6
Sri Lanka,Low trust,0.1155,136
Sri Lanka,Medium trust,0.5473,613
Sri Lanka,High trust,0.1336,154
Sri Lanka,DK/Refused,0.2036,206
Eswatini,Low trust,0.2366,238
Eswatini,Medium trust,0.4955,494
Eswatini,High trust,0.1448,148
Eswatini,DK/Refused,0.1231,120
Sweden,Low trust,0.0823,73
Sweden,Medium trust,0.6287,629
Sweden,High trust,0.2633,278
Sweden,DK/Refused,0.0257,20
Switzerland,Low trust,0.0822,70
Switzerland,Medium trust,0.7228,697
Switzerland,High trust,0.1714,213
Switzerland,DK/Refused,0.0235,20
Taiwan,Low trust,0.192,175
Taiwan,Medium trust,0.6615,685
Taiwan,High trust,0.0437,49
Taiwan,DK/Refused,0.1028,91
Tajikistan,Low trust,0.089,91
Tajikistan,Medium trust,0.406,390
Tajikistan,High trust,0.4223,440
Tajikistan,DK/Refused,0.0827,79
Tanzania,Low trust,0.0889,67
Tanzania,Medium trust,0.512,529
Tanzania,High trust,0.3055,312
Tanzania,DK/Refused,0.0936,92
Thailand,Low trust,0.0755,82
Thailand,Medium trust,0.6432,621
Thailand,High trust,0.0924,88
Thailand,DK/Refused,0.1889,209
The Gambia,Low trust,0.1093,122
The Gambia,Medium trust,0.4245,420
The Gambia,High trust,0.3358,324
The Gambia,DK/Refused,0.1305,134
Togo,Low trust,0.4093,467
Togo,Medium trust,0.1766,199
Togo,High trust,0.0097,13
Togo,DK/Refused,0.4044,321
Tunisia,Low trust,0.1856,178
Tunisia,Medium trust,0.4902,500
Tunisia,High trust,0.1507,156
Tunisia,DK/Refused,0.1734,167
Turkey,Low trust,0.2306,233
Turkey,Medium trust,0.4983,513
Turkey,High trust,0.1465,144
Turkey,DK/Refused,0.1246,110
Turkmenistan,Low trust,0.0637,64
Turkmenistan,Medium trust,0.6327,662
Turkmenistan,High trust,0.2242,201
Turkmenistan,DK/Refused,0.0794,73
Uganda,Low trust,0.2317,235
Uganda,Medium trust,0.5019,505
Uganda,High trust,0.1801,175
Uganda,DK/Refused,0.0863,85
Ukraine,Low trust,0.1601,169
Ukraine,Medium trust,0.623,627
Ukraine,High trust,0.0962,103
Ukraine,DK/Refused,0.1207,101
United Arab Emirates,Low trust,0.0991,103
United Arab Emirates,Medium trust,0.3888,400
United Arab Emirates,High trust,0.2669,262
United Arab Emirates,DK/Refused,0.2452,240
United Kingdom,Low trust,0.089,83
United Kingdom,Medium trust,0.5512,549
United Kingdom,High trust,0.3538,360
United Kingdom,DK/Refused,0.006,8
United States,Low trust,0.1285,116
United States,Medium trust,0.5604,563
United States,High trust,0.2542,282
United States,DK/Refused,0.0569,45
Uruguay,Low trust,0.1684,177
Uruguay,Medium trust,0.5535,538
Uruguay,High trust,0.1961,189
Uruguay,DK/Refused,0.082,96
Uzbekistan,Low trust,0.0209,23
Uzbekistan,Medium trust,0.3804,400
Uzbekistan,High trust,0.5427,525
Uzbekistan,DK/Refused,0.056,52
Venezuela,Low trust,0.3317,334
Venezuela,Medium trust,0.4609,460
Venezuela,High trust,0.1685,166
Venezuela,DK/Refused,0.0389,40
Vietnam,Low trust,0.1721,197
Vietnam,Medium trust,0.4129,424
Vietnam,High trust,0.0426,40
Vietnam,DK/Refused,0.3724,351
Yemen,Low trust,0.2018,211
Yemen,Medium trust,0.3737,399
Yemen,High trust,0.1751,186
Yemen,DK/Refused,0.2494,204
Zambia,Low trust,0.3114,302
Zambia,Medium trust,0.374,419
Zambia,High trust,0.1719,165
Zambia,DK/Refused,0.1427,114
Zimbabwe,Low trust,0.23,227
Zimbabwe,Medium trust,0.5205,525
Zimbabwe,High trust,0.1444,150
Zimbabwe,DK/Refused,0.1051,98
