"country","question","answer","National results","raw_count"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","1.4199624882304475E-2","16"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","982"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.33669983601543119","299"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.21189257010822476","195"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.22651833941816496","194"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.1291447238723972","118"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","8.1391585842457037E-2","68"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","1.43529447433278E-2","12"
"Austria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","886"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.46359031693830732","437"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.17034276592260753","145"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.16574157597716208","156"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","6.7151948370320416E-2","60"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.5066808307899199E-2","39"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","8.8106584483704176E-2","80"
"Azerbaijan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","917"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.94455181939054778","923"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","3.4530501024088084E-2","36"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","6.111729301187108E-3","8"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","3.2207411062440718E-3","3"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","5.8612197254314614E-3","5"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.7239894525015792E-3","7"
"Bangladesh","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","982"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.24158683344437978","254"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.12161141679243251","121"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.37306032443846071","382"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.10657822378738677","107"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.1171246286292679E-2","46"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","0.11599195525104983","83"
"Belarus","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","993"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.46387828522546648","419"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.1632245935702569","153"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.15360936858529786","153"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.12649827537878636","127"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","7.9872679533777802E-2","75"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","1.2916797706414691E-2","13"
"Belgium","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","940"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.63602479760935926","489"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.18200218398032594","159"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","2.6038493844194467E-2","27"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","7.1122151627638824E-2","67"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","6.9074490669015734E-2","54"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","1.5737882269463141E-2","8"
"Benin","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","804"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.49639505736219364","473"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.24556556021312401","225"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.10091202544889377","83"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","9.6006593188001907E-2","86"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","3.5036927559205303E-2","28"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","2.6083836228586947E-2","33"
"Bolivia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","928"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.56258629288709117","531"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.14024899879220837","123"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.19000104751928559","176"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","4.1349169655263786E-2","40"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.165786280326219E-2","33"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","2.4156628342890851E-2","20"
"Bosnia and Herzegovina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","923"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.74958780477115594","306"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","4.4590789394546387E-2","27"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","7.9424594427275438E-2","26"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","4.7595733402882784E-2","22"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.2414437022663544E-2","16"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","3.6386640981477161E-2","15"
"Botswana","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","412"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.61426746184421654","599"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.18554291020406827","171"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","8.7642660812886367E-2","72"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","7.5966355025474566E-2","73"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","1.4457206823556324E-2","15"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","2.2123405289797112E-2","19"
"Brazil","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","949"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.2795601200068305","255"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.11590586568963056","113"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.3486422505537693","343"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.10335191702661631","92"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","5.2778524338707805E-2","52"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","9.9761322384451442E-2","79"
"Bulgaria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","934"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.55550514164836073","450"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.12471620367384109","130"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","5.6134797165003164E-2","58"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.11432864818591697","114"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","9.3196996145983993E-2","67"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.6118213180892801E-2","35"
"Burkina Faso","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","854"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.81451090925532399","759"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","6.064584288055147E-2","57"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","7.2181458439162915E-3","7"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","3.6314229263349658E-2","32"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","2.8981083021104824E-2","22"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.2329789735754313E-2","45"
"Burundi","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","922"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.57326950560458523","524"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.30276077532525186","270"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","1.7334208256088939E-2","14"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","6.3673063910775748E-2","39"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","1.1743249834550197E-2","8"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","3.1219197068745472E-2","29"
"Cambodia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","884"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.57897968718592352","519"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.19206988354820659","165"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","4.6775458653240891E-2","64"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","7.4698896950869551E-2","81"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","5.6359216828921907E-2","64"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.1116856832841007E-2","52"
"Cameroon","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","945"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.53127106075541852","528"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.23310814012294898","231"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.14472979373147279","138"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","5.5256082786678269E-2","51"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","2.7970245950751305E-2","32"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","7.6646766527307406E-3","11"
"Canada","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","991"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.57372055119889875","438"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.2376570410375734","162"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","3.4710061092711603E-2","23"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","5.2549781205156923E-2","49"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.7950907800383281E-2","36"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.3411657665277154E-2","31"
"Chad","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","739"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.6072099582975915","570"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.13469202924879492","119"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.12382204081333992","105"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","7.35024027769456E-2","64"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.0271925329957707E-2","41"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","2.050164353336827E-2","18"
"Chile","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","917"
"China","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.46643173588727938","1546"
"China","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.25650053653691401","801"
