Country,Response,Weighted_prop,Unweighted count
Belgium,Neither agree nor disagree,0.1089,108
Belgium,Somewhat disagree,0.0305,34
Belgium,Strongly disagree,0.0229,19
Belgium,Don't know/Refused,0.0117,9
Benin,Strongly agree,0.7019,530
Benin,Somewhat agree,0.1837,171
Benin,Neither agree nor disagree,0.0255,24
Benin,Somewhat disagree,0.0396,42
Benin,Strongly disagree,0.0265,21
Benin,Don't know/Refused,0.0228,16
Bolivia,Strongly agree,0.4957,480
Bolivia,Somewhat agree,0.2953,261
Bolivia,Neither agree nor disagree,0.0992,89
Bolivia,Somewhat disagree,0.0698,59
Bolivia,Strongly disagree,0.0167,13
Bolivia,Don't know/Refused,0.0233,26
Bosnia and Herzegovina,Strongly agree,0.6202,577
Bosnia and Herzegovina,Somewhat agree,0.1445,127
Bosnia and Herzegovina,Neither agree nor disagree,0.15,146
Bosnia and Herzegovina,Somewhat disagree,0.0307,26
Bosnia and Herzegovina,Strongly disagree,0.0313,28
Bosnia and Herzegovina,Don't know/Refused,0.0233,19
Botswana,Strongly agree,0.7659,325
Botswana,Somewhat agree,0.0866,29
Botswana,Neither agree nor disagree,0.0346,20
Botswana,Somewhat disagree,0.032,12
Botswana,Strongly disagree,0.0088,5
Botswana,Don't know/Refused,0.0722,21
Brazil,Strongly agree,0.5744,556
Brazil,Somewhat agree,0.2322,209
Brazil,Neither agree nor disagree,0.0877,79
Brazil,Somewhat disagree,0.0543,53
Brazil,Strongly disagree,0.0125,10
Brazil,Don't know/Refused,0.0389,42
Bulgaria,Strongly agree,0.3501,320
Bulgaria,Somewhat agree,0.2185,197
Bulgaria,Neither agree nor disagree,0.2962,279
Bulgaria,Somewhat disagree,0.0367,38
Bulgaria,Strongly disagree,0.0277,32
Bulgaria,Don't know/Refused,0.0708,68
Burkina Faso,Strongly agree,0.6612,521
Burkina Faso,Somewhat agree,0.1778,193
Burkina Faso,Neither agree nor disagree,0.0396,42
Burkina Faso,Somewhat disagree,0.0573,49
Burkina Faso,Strongly disagree,0.0289,28
Burkina Faso,Don't know/Refused,0.0352,21
Burundi,Strongly agree,0.8475,781
Burundi,Somewhat agree,0.0633,64
Burundi,Neither agree nor disagree,0.002,3
Burundi,Somewhat disagree,0.0271,20
Burundi,Strongly disagree,0.0077,9
Burundi,Don't know/Refused,0.0523,45
Cambodia,Strongly agree,0.5684,523
Cambodia,Somewhat agree,0.3746,314
Cambodia,Neither agree nor disagree,0.0161,10
Cambodia,Somewhat disagree,0.0164,14
Cambodia,Strongly disagree,0.004,2
Cambodia,Don't know/Refused,0.0206,21
Cameroon,Strongly agree,0.6325,580
Cameroon,Somewhat agree,0.1922,192
Cameroon,Neither agree nor disagree,0.0435,53
Cameroon,Somewhat disagree,0.0579,51
Cameroon,Strongly disagree,0.0376,34
Cameroon,Don't know/Refused,0.0363,35
Canada,Strongly agree,0.5775,570
Canada,Somewhat agree,0.245,239
Canada,Neither agree nor disagree,0.112,108
Canada,Somewhat disagree,0.0433,44
Canada,Strongly disagree,0.0147,18
Canada,Don't know/Refused,0.0075,12
Chad,Strongly agree,0.5851,443
Chad,Somewhat agree,0.2648,180
Chad,Neither agree nor disagree,0.0333,22
Chad,Somewhat disagree,0.0512,46
Chad,Strongly disagree,0.0198,18
Chad,Don't know/Refused,0.0458,30
Chile,Strongly agree,0.6314,585
Chile,Somewhat agree,0.1459,138
Chile,Neither agree nor disagree,0.1445,120
Chile,Somewhat disagree,0.045,39
Chile,Strongly disagree,0.0196,22
Chile,Don't know/Refused,0.0136,13
China,Strongly agree,0.4855,1643
China,Somewhat agree,0.3029,878
China,Neither agree nor disagree,0.1419,425
China,Somewhat disagree,0.0187,60
China,Strongly disagree,0.0096,33
China,Don't know/Refused,0.0414,129
Colombia,Strongly agree,0.625,576
Colombia,Somewhat agree,0.1939,180
Colombia,Neither agree nor disagree,0.0862,81
Colombia,Somewhat disagree,0.0614,53
Colombia,Strongly disagree,0.0181,14
Colombia,Don't know/Refused,0.0154,15
Comoros,Strongly agree,0.805,726
Comoros,Somewhat agree,0.1262,106
Comoros,Neither agree nor disagree,0.0131,18
Comoros,Somewhat disagree,0.02,19
Comoros,Strongly disagree,0.0056,5
Comoros,Don't know/Refused,0.0301,26
"Congo, Rep.",Strongly agree,0.7825,608
"Congo, Rep.",Somewhat agree,0.1324,114
"Congo, Rep.",Neither agree nor disagree,0.0264,17
"Congo, Rep.",Somewhat disagree,0.0167,17
"Congo, Rep.",Strongly disagree,0.0176,14
"Congo, Rep.",Don't know/Refused,0.0243,17
Costa Rica,Strongly agree,0.7242,721
Costa Rica,Somewhat agree,0.1434,121
Costa Rica,Neither agree nor disagree,0.0713,60
Costa Rica,Somewhat disagree,0.0297,27
Costa Rica,Strongly disagree,0.0237,17
Costa Rica,Don't know/Refused,0.0077,10
Croatia,Strongly agree,0.4407,436
Croatia,Somewhat agree,0.2136,207
Croatia,Neither agree nor disagree,0.2228,194
Croatia,Somewhat disagree,0.0183,20
Croatia,Strongly disagree,0.0214,23
Croatia,Don't know/Refused,0.0832,70
Cyprus,Strongly agree,0.4409,331
Cyprus,Somewhat agree,0.2668,207
Cyprus,Neither agree nor disagree,0.215,143
Cyprus,Somewhat disagree,0.0363,21
Cyprus,Strongly disagree,0.0256,13
Cyprus,Don't know/Refused,0.0155,13
Czech Republic,Strongly agree,0.5538,562
Czech Republic,Somewhat agree,0.2102,198
Czech Republic,Neither agree nor disagree,0.1524,143
Czech Republic,Somewhat disagree,0.0257,21
Czech Republic,Strongly disagree,0.0051,5
Czech Republic,Don't know/Refused,0.0528,47
Denmark,Strongly agree,0.5985,570
Denmark,Somewhat agree,0.2541,243
Denmark,Neither agree nor disagree,0.1046,101
Denmark,Somewhat disagree,0.0273,30
Denmark,Strongly disagree,0.0135,12
Denmark,Don't know/Refused,0.0019,2
Dominican Republic,Strongly agree,0.6957,565
Dominican Republic,Somewhat agree,0.22,172
Dominican Republic,Neither agree nor disagree,0.0408,28
Dominican Republic,Somewhat disagree,0.0206,12
Dominican Republic,Strongly disagree,0.0071,6
Dominican Republic,Don't know/Refused,0.0158,13
Ecuador,Strongly agree,0.7014,635
Ecuador,Somewhat agree,0.1604,148
Ecuador,Neither agree nor disagree,0.0541,54
Ecuador,Somewhat disagree,0.0384,39
Ecuador,Strongly disagree,0.0194,21
Ecuador,Don't know/Refused,0.0263,27
Egypt,Strongly agree,0.863,858
Egypt,Somewhat agree,0.0974,95
Egypt,Neither agree nor disagree,0.0157,15
Egypt,Somewhat disagree,0.006,5
Egypt,Don't know/Refused,0.0179,20
El Salvador,Strongly agree,0.6154,567
El Salvador,Somewhat agree,0.2056,190
El Salvador,Neither agree nor disagree,0.0735,66
El Salvador,Somewhat disagree,0.06,54
El Salvador,Strongly disagree,0.0216,19
El Salvador,Don't know/Refused,0.0238,23
Estonia,Strongly agree,0.452,400
Estonia,Somewhat agree,0.167,153
Estonia,Neither agree nor disagree,0.2619,258
Estonia,Somewhat disagree,0.0444,37
Estonia,Strongly disagree,0.0214,21
Estonia,Don't know/Refused,0.0533,55
Ethiopia,Strongly agree,0.8795,847
Ethiopia,Somewhat agree,0.0912,99
Ethiopia,Neither agree nor disagree,0.0046,4
Ethiopia,Somewhat disagree,0.0163,12
Ethiopia,Strongly disagree,0.0031,3
Ethiopia,Don't know/Refused,0.0053,8
Finland,Strongly agree,0.4629,479
Finland,Somewhat agree,0.3712,351
Finland,Neither agree nor disagree,0.1218,121
Finland,Somewhat disagree,0.0301,31
Finland,Strongly disagree,0.0122,10
Finland,Don't know/Refused,0.0019,3
France,Strongly agree,0.273,296
France,Somewhat agree,0.4067,403
France,Neither agree nor disagree,0.1222,111
France,Somewhat disagree,0.1166,109
France,Strongly disagree,0.0662,46
France,Don't know/Refused,0.0153,8
Gabon,Strongly agree,0.5228,492
Gabon,Somewhat agree,0.2686,269
Gabon,Neither agree nor disagree,0.065,71
Gabon,Somewhat disagree,0.0872,86
Gabon,Strongly disagree,0.0292,23
Gabon,Don't know/Refused,0.0271,25
Georgia,Strongly agree,0.6039,517
Georgia,Somewhat agree,0.172,145
Georgia,Neither agree nor disagree,0.1106,115
Georgia,Somewhat disagree,0.0244,20
Georgia,Strongly disagree,0.0271,20
Georgia,Don't know/Refused,0.062,49
Germany,Strongly agree,0.5571,540
Germany,Somewhat agree,0.273,243
Germany,Neither agree nor disagree,0.127,118
Germany,Somewhat disagree,0.0243,25
Germany,Strongly disagree,0.0078,11
Germany,Don't know/Refused,0.0108,10
Ghana,Strongly agree,0.7773,567
Ghana,Somewhat agree,0.1038,73
Ghana,Neither agree nor disagree,0.0439,30
Ghana,Somewhat disagree,0.0295,13
Ghana,Strongly disagree,0.0302,20
Ghana,Don't know/Refused,0.0153,11
Greece,Strongly agree,0.5512,511
Greece,Somewhat agree,0.2958,304
Greece,Neither agree nor disagree,0.1126,116
Greece,Somewhat disagree,0.0155,16
Greece,Strongly disagree,0.0091,8
Greece,Don't know/Refused,0.0157,15
Guatemala,Strongly agree,0.6504,540
Guatemala,Somewhat agree,0.2167,195
Guatemala,Neither agree nor disagree,0.0311,26
Guatemala,Somewhat disagree,0.0575,42
Guatemala,Strongly disagree,0.0163,15
Guatemala,Don't know/Refused,0.0281,27
Guinea,Strongly agree,0.7292,608
Guinea,Somewhat agree,0.138,119
Guinea,Neither agree nor disagree,0.0129,15
Guinea,Somewhat disagree,0.0548,39
Guinea,Strongly disagree,0.0185,22
Guinea,Don't know/Refused,0.0466,34
Haiti,Strongly agree,0.7354,292
Haiti,Somewhat agree,0.1072,44
Haiti,Neither agree nor disagree,0.0269,9
Haiti,Somewhat disagree,0.0705,26
Haiti,Strongly disagree,0.0317,11
Haiti,Don't know/Refused,0.0283,9
Honduras,Strongly agree,0.7524,663
Honduras,Somewhat agree,0.1385,130
Honduras,Neither agree nor disagree,0.044,45
Honduras,Somewhat disagree,0.0383,38
Honduras,Strongly disagree,0.0083,8
Honduras,Don't know/Refused,0.0185,20
Hungary,Strongly agree,0.7049,702
Hungary,Somewhat agree,0.0779,69
Hungary,Neither agree nor disagree,0.1785,153
Hungary,Somewhat disagree,0.0042,4
Hungary,Strongly disagree,0.0092,10
Hungary,Don't know/Refused,0.0252,19
Iceland,Strongly agree,0.7377,360
Iceland,Somewhat agree,0.2307,107
Iceland,Neither agree nor disagree,0.0146,8
Iceland,Somewhat disagree,0.0088,5
Iceland,Strongly disagree,0.0032,2
Iceland,Don't know/Refused,0.0051,2
India,Strongly agree,0.8574,2346
India,Somewhat agree,0.0903,213
India,Neither agree nor disagree,0.0182,45
India,Somewhat disagree,0.0109,28
India,Strongly disagree,0.0071,23
India,Don't know/Refused,0.0162,40
Indonesia,Strongly agree,0.4899,334
Indonesia,Somewhat agree,0.2114,154
Indonesia,Neither agree nor disagree,0.1339,89
Indonesia,Somewhat disagree,0.095,65
Indonesia,Strongly disagree,0.0205,16
Indonesia,Don't know/Refused,0.0493,34
Iran,Strongly agree,0.6322,594
Iran,Somewhat agree,0.2237,220
Iran,Neither agree nor disagree,0.1061,97
Iran,Somewhat disagree,0.0219,15
Iran,Strongly disagree,0.004,4
Iran,Don't know/Refused,0.0121,8
Iraq,Strongly agree,0.7296,623
Iraq,Somewhat agree,0.1758,152
Iraq,Neither agree nor disagree,0.0342,36
Iraq,Somewhat disagree,0.037,29
Iraq,Strongly disagree,0.0017,2
Iraq,Don't know/Refused,0.0216,18
Ireland,Strongly agree,0.647,644
Ireland,Somewhat agree,0.2121,197
Ireland,Neither agree nor disagree,0.0801,67
Ireland,Somewhat disagree,0.0327,26
Ireland,Strongly disagree,0.0106,7
Ireland,Don't know/Refused,0.0175,14
Israel,Strongly agree,0.4879,488
Israel,Somewhat agree,0.3479,347
Israel,Neither agree nor disagree,0.089,86
Israel,Somewhat disagree,0.0173,11
Israel,Strongly disagree,0.0041,6
Israel,Don't know/Refused,0.0538,61
Italy,Strongly agree,0.5039,531
Italy,Somewhat agree,0.3446,324
Italy,Neither agree nor disagree,0.089,80
Italy,Somewhat disagree,0.05,42
Italy,Strongly disagree,0.0063,7
Italy,Don't know/Refused,0.0061,7
Ivory Coast,Strongly agree,0.6269,586
Ivory Coast,Somewhat agree,0.2511,228
Ivory Coast,Neither agree nor disagree,0.0224,22
Ivory Coast,Somewhat disagree,0.0453,52
Ivory Coast,Strongly disagree,0.033,22
Ivory Coast,Don't know/Refused,0.0214,15
Japan,Strongly agree,0.1431,138
Japan,Somewhat agree,0.4741,425
Japan,Neither agree nor disagree,0.3219,326
Japan,Somewhat disagree,0.0249,19
Japan,Strongly disagree,0.0081,8
Japan,Don't know/Refused,0.0279,27
Jordan,Strongly agree,0.739,721
Jordan,Somewhat agree,0.1793,170
Jordan,Neither agree nor disagree,0.0268,29
Jordan,Somewhat disagree,0.0183,20
Jordan,Strongly disagree,0.005,5
Jordan,Don't know/Refused,0.0314,36
Kazakhstan,Strongly agree,0.4712,415
Kazakhstan,Somewhat agree,0.0813,76
Kazakhstan,Neither agree nor disagree,0.2926,299
Kazakhstan,Somewhat disagree,0.024,26
Kazakhstan,Strongly disagree,0.0247,28
Kazakhstan,Don't know/Refused,0.1062,85
Kenya,Strongly agree,0.716,669
Kenya,Somewhat agree,0.1505,137
Kenya,Neither agree nor disagree,0.0364,28
Kenya,Somewhat disagree,0.0442,29
Kenya,Strongly disagree,0.0328,39
Kenya,Don't know/Refused,0.0202,11
Kosovo,Strongly agree,0.6135,558
Kosovo,Somewhat agree,0.1758,158
Kosovo,Neither agree nor disagree,0.1289,124
Kosovo,Somewhat disagree,0.0345,30
Kosovo,Strongly disagree,0.0195,20
Kosovo,Don't know/Refused,0.0278,28
Kuwait,Strongly agree,0.6914,607
Kuwait,Somewhat agree,0.1809,161
Kuwait,Neither agree nor disagree,0.057,54
Kuwait,Somewhat disagree,0.0221,16
Kuwait,Strongly disagree,0.0085,7
Kuwait,Don't know/Refused,0.0401,32
Kyrgyzstan,Strongly agree,0.6355,541
Kyrgyzstan,Somewhat agree,0.0741,67
Kyrgyzstan,Neither agree nor disagree,0.1053,84
Kyrgyzstan,Somewhat disagree,0.0421,38
Kyrgyzstan,Strongly disagree,0.0294,27
Kyrgyzstan,Don't know/Refused,0.1135,70
Laos,Strongly agree,0.7069,387
Laos,Somewhat agree,0.2021,97
Laos,Neither agree nor disagree,0.0326,19
Laos,Somewhat disagree,0.0099,4
Laos,Strongly disagree,0.0042,1
Laos,Don't know/Refused,0.0442,24
Latvia,Strongly agree,0.2608,259
Latvia,Somewhat agree,0.2439,231
Latvia,Neither agree nor disagree,0.2979,299
Latvia,Somewhat disagree,0.0748,74
Latvia,Strongly disagree,0.0235,24
Latvia,Don't know/Refused,0.099,97
Lebanon,Strongly agree,0.6836,692
Lebanon,Somewhat agree,0.1779,170
Lebanon,Neither agree nor disagree,0.1089,101
Lebanon,Somewhat disagree,0.0104,11
Lebanon,Strongly disagree,7e-4,1
Lebanon,Don't know/Refused,0.0186,17
Liberia,Strongly agree,0.5914,545
Liberia,Somewhat agree,0.09,87
Liberia,Neither agree nor disagree,0.0271,25
Liberia,Somewhat disagree,0.1359,131
Liberia,Strongly disagree,0.14,140
Liberia,Don't know/Refused,0.0156,13
Libya,Strongly agree,0.5456,524
Libya,Somewhat agree,0.1985,174
Libya,Neither agree nor disagree,0.1518,119
Libya,Somewhat disagree,0.043,31
Libya,Strongly disagree,0.0127,11
Libya,Don't know/Refused,0.0484,37
Lithuania,Strongly agree,0.3506,298
Lithuania,Somewhat agree,0.2538,204
Lithuania,Neither agree nor disagree,0.2453,188
Lithuania,Somewhat disagree,0.0291,20
Lithuania,Strongly disagree,0.0126,11
Lithuania,Don't know/Refused,0.1085,76
Luxembourg,Strongly agree,0.4375,430
Luxembourg,Somewhat agree,0.3748,344
Luxembourg,Neither agree nor disagree,0.1162,113
Luxembourg,Somewhat disagree,0.0554,44
Luxembourg,Strongly disagree,0.0137,9
Luxembourg,Don't know/Refused,0.0025,4
Macedonia,Strongly agree,0.4957,493
Macedonia,Somewhat agree,0.1116,116
Macedonia,Neither agree nor disagree,0.2267,198
Macedonia,Somewhat disagree,0.0504,37
Macedonia,Strongly disagree,0.04,36
Macedonia,Don't know/Refused,0.0755,70
Madagascar,Strongly agree,0.7677,642
Madagascar,Somewhat agree,0.1437,119
Madagascar,Neither agree nor disagree,0.0124,11
Madagascar,Somewhat disagree,0.0322,31
Madagascar,Strongly disagree,0.0177,17
Madagascar,Don't know/Refused,0.0262,20
Malawi,Strongly agree,0.8933,786
Malawi,Somewhat agree,0.0466,39
Malawi,Neither agree nor disagree,0.0377,38
Malawi,Somewhat disagree,0.0136,13
Malawi,Strongly disagree,0.0031,3
Malawi,Don't know/Refused,0.0057,5
Malaysia,Strongly agree,0.6978,412
Malaysia,Somewhat agree,0.1936,121
Malaysia,Neither agree nor disagree,0.0459,31
Malaysia,Somewhat disagree,0.0274,18
Malaysia,Strongly disagree,0.0135,10
Malaysia,Don't know/Refused,0.0217,19
Mali,Strongly agree,0.7557,628
Mali,Somewhat agree,0.1117,91
Mali,Neither agree nor disagree,0.018,16
Mali,Somewhat disagree,0.0313,34
Mali,Strongly disagree,0.0156,11
Mali,Don't know/Refused,0.0677,43
Malta,Strongly agree,0.5897,539
Malta,Somewhat agree,0.2537,242
Malta,Neither agree nor disagree,0.0933,94
Malta,Somewhat disagree,0.0314,26
Malta,Strongly disagree,0.021,21
Malta,Don't know/Refused,0.011,11
Mauritania,Strongly agree,0.7025,604
Mauritania,Somewhat agree,0.1098,86
Mauritania,Neither agree nor disagree,0.0229,26
Mauritania,Somewhat disagree,0.025,21
Mauritania,Strongly disagree,0.0272,18
Mauritania,Don't know/Refused,0.1125,82
Mauritius,Strongly agree,0.5435,524
Mauritius,Somewhat agree,0.2987,276
Mauritius,Neither agree nor disagree,0.0878,113
Mauritius,Somewhat disagree,0.0304,31
Mauritius,Strongly disagree,0.0239,17
Mauritius,Don't know/Refused,0.0157,11
Mexico,Strongly agree,0.7593,713
Mexico,Somewhat agree,0.1481,150
Mexico,Neither agree nor disagree,0.0337,33
Mexico,Somewhat disagree,0.0174,25
Mexico,Strongly disagree,0.0303,27
Mexico,Don't know/Refused,0.0114,10
Moldova,Strongly agree,0.299,277
Moldova,Somewhat agree,0.1905,168
Moldova,Neither agree nor disagree,0.3173,301
Moldova,Somewhat disagree,0.0375,42
Moldova,Strongly disagree,0.0351,34
Moldova,Don't know/Refused,0.1205,120
Mongolia,Strongly agree,0.6204,581
Mongolia,Somewhat agree,0.2695,254
Mongolia,Neither agree nor disagree,0.0262,23
Mongolia,Somewhat disagree,0.0358,35
Mongolia,Strongly disagree,0.0167,16
Mongolia,Don't know/Refused,0.0314,27
Montenegro,Strongly agree,0.3394,321
Montenegro,Somewhat agree,0.1829,172
Montenegro,Neither agree nor disagree,0.3198,313
Montenegro,Somewhat disagree,0.0351,34
Montenegro,Strongly disagree,0.0353,34
Montenegro,Don't know/Refused,0.0875,71
Morocco,Strongly agree,0.6594,637
Morocco,Somewhat agree,0.1,95
Morocco,Neither agree nor disagree,0.0506,55
Morocco,Somewhat disagree,0.0201,18
Morocco,Strongly disagree,0.0231,22
Morocco,Don't know/Refused,0.1468,151
Mozambique,Strongly agree,0.6128,562
Mozambique,Somewhat agree,0.1555,144
Mozambique,Neither agree nor disagree,0.0256,27
Mozambique,Somewhat disagree,0.0565,59
Mozambique,Strongly disagree,0.0352,30
Mozambique,Don't know/Refused,0.1144,106
Myanmar,Strongly agree,0.7601,772
Myanmar,Somewhat agree,0.1656,139
Myanmar,Neither agree nor disagree,0.0166,18
Myanmar,Somewhat disagree,0.0186,15
Myanmar,Strongly disagree,0.0125,7
Myanmar,Don't know/Refused,0.0266,25
Namibia,Strongly agree,0.6195,399
Namibia,Somewhat agree,0.1667,109
Namibia,Neither agree nor disagree,0.0414,26
Namibia,Somewhat disagree,0.1031,62
Namibia,Strongly disagree,0.054,41
Namibia,Don't know/Refused,0.0153,10
Nepal,Strongly agree,0.6389,542
Nepal,Somewhat agree,0.2195,193
Nepal,Neither agree nor disagree,0.0421,39
Nepal,Somewhat disagree,0.0487,45
Nepal,Strongly disagree,0.0193,14
Nepal,Don't know/Refused,0.0314,23
Netherlands,Strongly agree,0.4381,359
Netherlands,Somewhat agree,0.3268,300
Netherlands,Neither agree nor disagree,0.1164,96
Netherlands,Somewhat disagree,0.067,70
Netherlands,Strongly disagree,0.0413,35
Netherlands,Don't know/Refused,0.0105,9
New Zealand,Strongly agree,0.5428,568
New Zealand,Somewhat agree,0.2777,246
New Zealand,Neither agree nor disagree,0.0988,80
New Zealand,Somewhat disagree,0.0522,42
New Zealand,Strongly disagree,0.0141,17
New Zealand,Don't know/Refused,0.0144,21
Nicaragua,Strongly agree,0.7505,714
Nicaragua,Somewhat agree,0.1519,132
Nicaragua,Neither agree nor disagree,0.0427,43
Nicaragua,Somewhat disagree,0.0298,28
Nicaragua,Strongly disagree,0.0078,6
Nicaragua,Don't know/Refused,0.0173,13
Niger,Strongly agree,0.7898,550
Niger,Somewhat agree,0.1292,105
Niger,Neither agree nor disagree,0.0081,8
Niger,Somewhat disagree,0.0149,14
Niger,Strongly disagree,0.0196,15
Niger,Don't know/Refused,0.0385,30
Nigeria,Strongly agree,0.7496,594
Nigeria,Somewhat agree,0.0596,60
Nigeria,Neither agree nor disagree,0.0225,25
Nigeria,Somewhat disagree,0.0811,68
Nigeria,Strongly disagree,0.0785,70
Nigeria,Don't know/Refused,0.0086,8
Northern Cyprus,Strongly agree,0.7338,730
Northern Cyprus,Somewhat agree,0.1889,190
Northern Cyprus,Neither agree nor disagree,0.0664,64
Northern Cyprus,Somewhat disagree,0.0088,14
Northern Cyprus,Strongly disagree,0.0022,2
Norway,Strongly agree,0.7083,626
Norway,Somewhat agree,0.224,197
Norway,Neither agree nor disagree,0.0404,40
Norway,Somewhat disagree,0.0185,17
Norway,Strongly disagree,0.0088,8
Pakistan,Strongly agree,0.7067,521
Pakistan,Somewhat agree,0.1645,123
Pakistan,Neither agree nor disagree,0.0444,39
Pakistan,Somewhat disagree,0.0372,29
Pakistan,Strongly disagree,0.0065,8
Pakistan,Don't know/Refused,0.0407,38
Palestine,Strongly agree,0.813,823
Palestine,Somewhat agree,0.0904,80
Palestine,Neither agree nor disagree,0.0471,43
Palestine,Somewhat disagree,0.0188,14
Palestine,Strongly disagree,0.0103,5
Palestine,Don't know/Refused,0.0205,20
Panama,Strongly agree,0.659,583
Panama,Somewhat agree,0.1785,147
Panama,Neither agree nor disagree,0.0806,66
Panama,Somewhat disagree,0.045,37
Panama,Strongly disagree,0.0113,11
Panama,Don't know/Refused,0.0256,22
Paraguay,Strongly agree,0.5617,509
Paraguay,Somewhat agree,0.2287,188
Paraguay,Neither agree nor disagree,0.10780000000000001,99
Paraguay,Somewhat disagree,0.0591,47
Paraguay,Strongly disagree,0.0242,18
Paraguay,Don't know/Refused,0.0185,20
Peru,Strongly agree,0.4177,388
Peru,Somewhat agree,0.2815,260
Peru,Neither agree nor disagree,0.108,99
Peru,Somewhat disagree,0.1318,118
Peru,Strongly disagree,0.0219,22
Peru,Don't know/Refused,0.039,35
Philippines,Strongly agree,0.5745,543
Philippines,Somewhat agree,0.2879,250
Philippines,Neither agree nor disagree,0.0353,39
Philippines,Somewhat disagree,0.0709,72
Philippines,Strongly disagree,0.0178,20
Philippines,Don't know/Refused,0.0136,11
Poland,Strongly agree,0.7222,617
Poland,Somewhat agree,0.1234,112
Poland,Neither agree nor disagree,0.0954,80
Poland,Somewhat disagree,0.0268,24
Poland,Strongly disagree,0.0128,13
Poland,Don't know/Refused,0.0193,17
Portugal,Strongly agree,0.4246,409
Portugal,Somewhat agree,0.2667,254
Portugal,Neither agree nor disagree,0.1875,195
Portugal,Somewhat disagree,0.0752,73
Portugal,Strongly disagree,0.0079,10
Portugal,Don't know/Refused,0.0381,49
Romania,Strongly agree,0.607,588
Romania,Somewhat agree,0.1358,125
Romania,Neither agree nor disagree,0.122,108
Romania,Somewhat disagree,0.0354,28
Romania,Strongly disagree,0.0246,21
Romania,Don't know/Refused,0.0752,80
Russia,Strongly agree,0.4054,728
Russia,Somewhat agree,0.2095,377
Russia,Neither agree nor disagree,0.1841,354
Russia,Somewhat disagree,0.0743,139
Russia,Strongly disagree,0.0456,86
Russia,Don't know/Refused,0.0812,156
Rwanda,Strongly agree,0.8871,743
Rwanda,Somewhat agree,0.0995,84
Rwanda,Neither agree nor disagree,0.0012,1
Rwanda,Somewhat disagree,0.0044,5
Rwanda,Strongly disagree,0.0021,2
Rwanda,Don't know/Refused,0.0057,5
Saudi Arabia,Strongly agree,0.6803,607
Saudi Arabia,Somewhat agree,0.1546,182
Saudi Arabia,Neither agree nor disagree,0.1161,116
Saudi Arabia,Somewhat disagree,0.0319,27
Saudi Arabia,Strongly disagree,0.0067,9
Saudi Arabia,Don't know/Refused,0.0103,10
Senegal,Strongly agree,0.6783,564
Senegal,Somewhat agree,0.1318,123
Senegal,Neither agree nor disagree,0.0515,51
Senegal,Somewhat disagree,0.0637,60
Senegal,Strongly disagree,0.0304,22
Senegal,Don't know/Refused,0.0443,35
